Factor1,Factor2,Correlation,AVE_Sqrt_Factor1,AVE_Sqrt_Factor2,Min_AVE_Sqrt,Is_Valid,Difference
health_concern,perceived_benefit,0.2469692960254693,0.7811287691944024,0.6933908398689307,0.6933908398689307,True,0.4464215438434614
health_concern,purchase_intention,0.2846757658954391,0.7811287691944024,0.9062405619884316,0.7811287691944024,True,0.49645300329896336
health_concern,perceived_price,0.1295657915194175,0.7811287691944024,0.7568267685003854,0.7568267685003854,True,0.6272609769809679
health_concern,nutrition_knowledge,0.1329293867999988,0.7811287691944024,0.5856360195005519,0.5856360195005519,True,0.4527066327005531
perceived_benefit,purchase_intention,0.7134054313164264,0.6933908398689307,0.9062405619884316,0.6933908398689307,False,-0.020014591447495733
perceived_benefit,perceived_price,0.0922623412639824,0.6933908398689307,0.7568267685003854,0.6933908398689307,True,0.6011284986049483
perceived_benefit,nutrition_knowledge,0.0603881324106325,0.6933908398689307,0.5856360195005519,0.5856360195005519,True,0.5252478870899194
purchase_intention,perceived_price,0.0151513735175623,0.9062405619884316,0.7568267685003854,0.7568267685003854,True,0.7416753949828231
purchase_intention,nutrition_knowledge,0.0736268768097745,0.9062405619884316,0.5856360195005519,0.5856360195005519,True,0.5120091426907774
perceived_price,nutrition_knowledge,0.1206115377361612,0.7568267685003854,0.5856360195005519,0.5856360195005519,True,0.4650244817643907
