Item,Factor,Loading,SE,Z_value,P_value,Significant,Analysis_Type,Sample_Size
q6,health_concern,1.0,-,-,,False,multiple_factors,300
q7,health_concern,0.9196,0.03613613723329774,25.44770493834742,0.0,True,multiple_factors,300
q8,health_concern,0.7321,0.038028129505164196,19.252800776199397,0.0,True,multiple_factors,300
q9,health_concern,0.7948,0.03342184123360774,23.782070814804147,0.0,True,multiple_factors,300
q10,health_concern,0.7222,0.03639428735382107,19.843327984131832,0.0,True,multiple_factors,300
q11,health_concern,0.8738,0.03624830306487098,24.104889956621946,0.0,True,multiple_factors,300
q12,perceived_benefit,1.0,-,-,,False,multiple_factors,300
q13,perceived_benefit,0.4058,0.04820741680969706,8.417624997887401,0.0,True,multiple_factors,300
q14,perceived_benefit,0.9053,0.035180363901707964,25.733761285512017,0.0,True,multiple_factors,300
q15,perceived_benefit,0.7992,0.03870884647874771,20.645993869336078,0.0,True,multiple_factors,300
q16,perceived_benefit,0.638,0.04792994690289075,13.311075051105302,0.0,True,multiple_factors,300
q17,perceived_benefit,0.7871,0.0472285290693517,16.66585594719578,0.0,True,multiple_factors,300
q18,purchase_intention,1.0,-,-,,False,multiple_factors,300
q19,purchase_intention,1.0667,0.030376650730842242,35.11414807582655,0.0,True,multiple_factors,300
q20,purchase_intention,1.0086,0.030812144936447378,32.73229296230184,0.0,True,multiple_factors,300
q27,perceived_price,1.0,-,-,,False,multiple_factors,300
q28,perceived_price,0.5286,0.04261162890898221,12.405193066995784,0.0,True,multiple_factors,300
q29,perceived_price,0.8456,0.0406674469461227,20.793609012494723,0.0,True,multiple_factors,300
q30,nutrition_knowledge,1.0,-,-,,False,multiple_factors,300
q31,nutrition_knowledge,0.4658,0.04651731436129245,10.01357540079688,0.0,True,multiple_factors,300
q32,nutrition_knowledge,0.681,0.04453486012914156,15.291702172159285,0.0,True,multiple_factors,300
q33,nutrition_knowledge,-0.4137,0.04904896621676713,-8.434489842899866,0.0,True,multiple_factors,300
q34,nutrition_knowledge,0.8605,0.050999608582971756,16.872181777418398,0.0,True,multiple_factors,300
q35,nutrition_knowledge,0.762,0.04521640885701146,16.852095971867783,0.0,True,multiple_factors,300
q36,nutrition_knowledge,0.7449,0.05357990633318455,13.902506302683916,0.0,True,multiple_factors,300
q37,nutrition_knowledge,-0.0938,0.0514504646144776,-1.8225813154816286,0.0684,False,multiple_factors,300
q38,nutrition_knowledge,0.9173,0.053178957487178075,17.248893517480465,0.0,True,multiple_factors,300
q39,nutrition_knowledge,0.8586,0.049472566921212345,17.354584629461417,0.0,True,multiple_factors,300
q40,nutrition_knowledge,-0.2466,0.04983315334492441,-4.948086370295465,0.0,True,multiple_factors,300
q41,nutrition_knowledge,0.2077,0.047006099857347716,4.418333075145214,0.0,True,multiple_factors,300
q42,nutrition_knowledge,0.8514,0.04706977793766028,18.089029384028063,0.0,True,multiple_factors,300
q43,nutrition_knowledge,0.8169,0.04476201762001234,18.250773126227994,0.0,True,multiple_factors,300
q44,nutrition_knowledge,0.874,0.0461000553700642,18.958961906796294,0.0,True,multiple_factors,300
q45,nutrition_knowledge,0.9637,0.04300188213409566,22.41043512487735,0.0,True,multiple_factors,300
q46,nutrition_knowledge,0.771,0.04660041782750737,16.54433623461269,0.0,True,multiple_factors,300
q47,nutrition_knowledge,-0.7764,0.047135831203591536,-16.472392509068186,0.0,True,multiple_factors,300
q48,nutrition_knowledge,0.5187,0.045579388619106855,11.380285536847422,0.0,True,multiple_factors,300
q49,nutrition_knowledge,0.5238,0.056312278753217496,9.30234932931421,0.0,True,multiple_factors,300
