Coefficient,Estimate,Std. Err.,P. Value
γ_health_concern_to_perceived_benefit,0.5,1.0,0.6170750774519738
γ_perceived_benefit_to_purchase_intention,0.5,1.0,0.6170750774519738
β_Intercept,-0.15349173226466178,0.9966715295351506,0.8776063205788327
β_sugar_free,0.17739349097466153,0.999835850920169,0.859176445111743
β_health_label,0.16736370537179351,0.9998355413094603,0.867062221872841
β_price,-0.07740570686337231,0.9996942050780575,0.9382819655934631
λ_main,-1.0130221597486313,0.9925878155334549,0.307450180372705
λ_mod_perceived_price,-1.2277452472479398,0.996495332543562,0.21792546953772618
λ_mod_nutrition_knowledge,-1.9231327025227536,0.9862144774826657,0.051174370116667145
,,,
Estimation statistics,,,
Iterations,19,LL (start),N/A
AIC,2833047.50,"LL (final, whole model)",-1416443.75
BIC,2833582.17,LL (Choice),N/A
